Category,Percentage
Java,22.273781902552173
Internet,9.512761020881674
Microsoft .NET,7.888631090487242
Web Development,3.9443155452436183
Software Engineering,3.7122969837586997
Programming,2.784222737819025
Business,2.784222737819025
Client-Server,2.5522041763341066
Microsoft,1.8561484918793505
PowerBuilder,1.6241299303944317
Networking,1.6241299303944317
Theory,1.6241299303944317
Computer Graphics,1.3921113689095128
Python,1.3921113689095128
Mobile Technology,1.3921113689095128
Perl,1.3921113689095128
Object-Oriented Programming,0.9280742459396751
XML,0.9280742459396751
Open Source,0.46403712296983757
Miscellaneous,0.46403712296983757
,0.46403712296983757
Mobile,0.23201856148491878
Next Generation Databases,0.23201856148491878
S,0.23201856148491878
P,0.23201856148491878
java,0.23201856148491878
Microsoft/.NET,0.23201856148491878
Miscella,0.23201856148491878
Object-Technology Programming,0.23201856148491878
internet,0.23201856148491878
.NET,0.23201856148491878
Algorithmic Art,0.23201856148491878
PHP,0.23201856148491878
SOA,0.23201856148491878
Computer Graph,0.23201856148491878
Client Server,0.23201856148491878
In Action,0.23201856148491878
Software Development,0.23201856148491878
